Title,Release,Genre,Rating,Runtime,Revenue,Decade
Scarface,1983,Crime,8.3,170,45.598982,1980
Star Wars: Episode VI - Return of the Jedi,1983,Action,8.3,131,309.125409,1980
Das Boot,1981,Adventure,8.3,149,11.487676,1980
Taxi Driver,1976,Crime,8.3,114,28.262574,1970
The Sting,1973,Comedy,8.3,129,159.6,1970
A Clockwork Orange,1971,Crime,8.3,136,6.207725,1970
2001: A Space Odyssey,1968,Adventure,8.3,149,56.954992,1960
Per qualche dollaro in più,1965,Western,8.3,132,15.0,1960
Lawrence of Arabia,1962,Adventure,8.3,228,44.824144,1960
The Apartment,1960,Comedy,8.3,125,18.6,1960
North by Northwest,1959,Adventure,8.3,136,13.275,1950
Vertigo,1958,Mystery,8.3,128,3.2,1950
Singin' in the Rain,1952,Comedy,8.3,103,8.819028,1950
Ikiru,1952,Drama,8.3,143,0.05524,1950
Ladri di biciclette,1948,Drama,8.3,89,0.33293,1940
Double Indemnity,1944,Crime,8.3,107,5.72,1940
Citizen Kane,1941,Drama,8.3,119,1.585634,1940
M - Eine Stadt sucht einen Mörder,1931,Crime,8.3,117,0.028877,1930
Metropolis,1927,Drama,8.3,153,1.236166,1920
The Kid,1921,Comedy,8.3,68,5.45,1920
Chhichhore,2019,Comedy,8.2,143,0.898575,2010
Uri: The Surgical Strike,2018,Action,8.2,138,4.186168,2010
K.G.F: Chapter 1,2018,Action,8.2,156,,2010
Green Book,2018,Biography,8.2,130,85.080171,2010
"Three Billboards Outside Ebbing, Missouri",2017,Comedy,8.2,115,54.51374,2010
Talvar,2015,Crime,8.2,132,0.34237,2010
Baahubali 2: The Conclusion,2017,Action,8.2,167,20.186659,2010
Klaus,2019,Animation,8.2,96,,2010
Drishyam,2015,Crime,8.2,163,0.739478,2010
Queen,2013,Adventure,8.2,146,1.429534,2010
Mandariinid,2013,Drama,8.2,87,0.144501,2010
Bhaag Milkha Bhaag,2013,Biography,8.2,186,1.626289,2010
Gangs of Wasseypur,2012,Action,8.2,321,,2010
Udaan,2010,Drama,8.2,134,0.007461,2010
Paan Singh Tomar,2012,Action,8.2,135,0.039567,2010
El secreto de sus ojos,2009,Drama,8.2,129,6.391436,2000
Warrior,2011,Action,8.2,140,13.657115,2010
Shutter Island,2010,Mystery,8.2,138,128.012934,2010
Up,2009,Animation,8.2,96,293.004164,2000
The Wolf of Wall Street,2013,Biography,8.2,180,116.900694,2010
Chak De! India,2007,Drama,8.2,153,1.113541,2000
There Will Be Blood,2007,Drama,8.2,158,40.222514,2000
Pan's Labyrinth,2006,Drama,8.2,118,37.634615,2000
Toy Story 3,2010,Animation,8.2,103,415.00488,2010
V for Vendetta,2005,Action,8.2,132,70.511035,2000
Rang De Basanti,2006,Comedy,8.2,167,2.197331,2000
Black,2005,Drama,8.2,122,0.733094,2000
Batman Begins,2005,Action,8.2,140,206.852432,2000
"Swades: We, the People",2004,Drama,8.2,210,1.22324,2000
Der Untergang,2004,Biography,8.2,156,5.50904,2000
Hauru no ugoku shiro,2004,Animation,8.2,119,4.711096,2000
A Beautiful Mind,2001,Biography,8.2,135,170.742341,2000
Hera Pheri,2000,Action,8.2,156,,2000
"Lock, Stock and Two Smoking Barrels",1998,Action,8.2,107,3.897569,1990
L.A. Confidential,1997,Crime,8.2,138,64.61694,1990
Eskiya,1996,Crime,8.2,128,,1990
Heat,1995,Crime,8.2,170,67.436818,1990
Casino,1995,Crime,8.2,178,42.4383,1990
Andaz Apna Apna,1994,Action,8.2,160,,1990
Unforgiven,1992,Drama,8.2,130,101.157447,1990
Indiana Jones and the Last Crusade,1989,Action,8.2,127,197.171806,1980
Dom za vesanje,1988,Comedy,8.2,142,0.280015,1980
Tonari no Totoro,1988,Animation,8.2,86,1.105564,1980
Die Hard,1988,Action,8.2,132,83.008852,1980
Ran,1985,Action,8.2,162,4.13575,1980
Raging Bull,1980,Biography,8.2,129,23.383987,1980
Stalker,1979,Drama,8.2,162,0.234723,1970
Höstsonaten,1978,Drama,8.2,99,,1970
The Message,1976,Biography,8.2,177,,1970
Sholay,1975,Action,8.2,204,,1970
Monty Python and the Holy Grail,1975,Adventure,8.2,91,1.229197,1970
The Great Escape,1963,Adventure,8.2,172,12.1,1960
To Kill a Mockingbird,1962,Crime,8.2,129,,1960
Yôjinbô,1961,Action,8.2,110,,1960
Judgment at Nuremberg,1961,Drama,8.2,179,,1960
Some Like It Hot,1959,Comedy,8.2,121,25.0,1950
Smultronstället,1957,Drama,8.2,91,,1950
Det sjunde inseglet,1957,Drama,8.2,96,,1950
Du rififi chez les hommes,1955,Crime,8.2,118,0.057226,1950
Dial M for Murder,1954,Crime,8.2,105,0.012562,1950
Tôkyô monogatari,1953,Drama,8.2,136,,1950
Rashômon,1950,Crime,8.2,88,0.096568,1950
All About Eve,1950,Drama,8.2,138,0.010177,1950
The Treasure of the Sierra Madre,1948,Adventure,8.2,126,5.014,1940
To Be or Not to Be,1942,Comedy,8.2,99,,1940
The Gold Rush,1925,Adventure,8.2,95,5.45,1920
Sherlock Jr.,1924,Action,8.2,45,0.977375,1920
Portrait de la jeune fille en feu,2019,Drama,8.1,122,3.759854,2010
Pink,2016,Drama,8.1,136,1.241223,2010
Koe no katachi,2016,Animation,8.1,130,,2010
Contratiempo,2016,Crime,8.1,106,,2010
Ah-ga-ssi,2016,Drama,8.1,145,2.006788,2010
Mommy,2014,Drama,8.1,139,3.492754,2010
Haider,2014,Action,8.1,160,0.90161,2010
Logan,2017,Action,8.1,137,226.277068,2010
Room,2015,Drama,8.1,118,14.677674,2010
Relatos salvajes,2014,Comedy,8.1,122,3.107072,2010
Soul,2020,Animation,8.1,100,,2020
Kis Uykusu,2014,Drama,8.1,196,0.16552,2010
PK,2014,Comedy,8.1,153,10.616104,2010
OMG: Oh My God!,2012,Comedy,8.1,125,0.923221,2010
The Grand Budapest Hotel,2014,Adventure,8.1,99,59.100318,2010
Gone Girl,2014,Drama,8.1,149,167.767189,2010
Ôkami kodomo no Ame to Yuki,2012,Animation,8.1,117,,2010
Hacksaw Ridge,2016,Biography,8.1,139,67.209615,2010
Inside Out,2015,Animation,8.1,95,356.461711,2010
Barfi!,2012,Comedy,8.1,151,2.804874,2010
12 Years a Slave,2013,Biography,8.1,134,56.671993,2010
Rush,2013,Action,8.1,123,26.947624,2010
Ford v Ferrari,2019,Action,8.1,152,117.624028,2010
Spotlight,2015,Biography,8.1,129,45.055776,2010
Song of the Sea,2014,Animation,8.1,93,0.857524,2010
Kahaani,2012,Mystery,8.1,122,1.035953,2010
Zindagi Na Milegi Dobara,2011,Comedy,8.1,155,3.108485,2010
Prisoners,2013,Crime,8.1,153,61.002302,2010
Mad Max: Fury Road,2015,Action,8.1,120,154.05834,2010
A Wednesday,2008,Action,8.1,104,,2000
Gran Torino,2008,Drama,8.1,116,148.095302,2000
Harry Potter and the Deathly Hallows: Part 2,2011,Adventure,8.1,130,381.011219,2010
Okuribito,2008,Drama,8.1,130,1.49821,2000
Hachi: A Dog's Tale,2009,Biography,8.1,93,,2000
Mary and Max,2009,Animation,8.1,92,,2000
How to Train Your Dragon,2010,Animation,8.1,98,217.581231,2010
Into the Wild,2007,Adventure,8.1,148,18.354356,2000
No Country for Old Men,2007,Crime,8.1,122,74.283625,2000
